Id,Prediction
0,4089437
1,3592378
2,3401263
3,3327004
4,3980504
5,4489938
6,4024684
7,3714772
8,4950917
9,3964832
10,4508253
11,4844007
12,4414045
13,4493761
14,4332891
15,4669367
16,4737009
17,3794289
18,5273220
19,3724444
20,2827540
21,4967130
22,4500411
23,5316856
24,5091877
25,3952015
26,3614819
27,5023749
28,3793392
29,4840328
30,4169879
31,3261981
32,3242735
33,4836566
34,3090382
35,4373082
36,4012206
37,4702174
38,3303881
39,3657050
40,4739450
41,4544217
42,4860547
43,4930860
44,5470626
45,4426253
46,3302639
47,2739463
48,4669068
49,4425197
50,4353128
51,3693740
52,4935424
53,3267224
54,3416794
55,4482295
56,5704392
57,4134077
58,4696470
59,5074429
60,2971960
61,3805939
62,3924158
63,4183637
64,4654947
65,5874209
66,4468255
67,5643937
68,5048245
69,4771706
70,4082653
71,3204367
72,4205367
73,3996164
74,5168116
75,4329952
76,4774560
77,4151808
78,4687331
79,4406023
80,5459966
81,4849478
82,3939713
83,4401512
84,5395455
85,2114928
86,4554982
87,4903114
88,4570509
89,3768820
90,5118560
91,4105553
92,3827731
93,4364953
94,5264376
95,3440050
96,4530339
97,4594075
98,3988559
99,4749448
100,4245650
101,2759877
102,3680702
103,3574250
104,3942097
105,3408673
106,4431421
107,4888840
108,4963348
109,4911294
110,4962823
111,4230359
112,4578120
113,4735511
114,4035375
115,4546268
116,3304583
117,5015153
118,3927770
119,4741187
120,4826859
121,4809395
122,4132421
123,5497190
124,3415508
125,4080670
126,5297575
127,3780418
128,4123273
129,4311396
130,2877740
131,4812405
132,5182790
133,3504008
134,4267351
135,3954561
136,4158702
137,4072494
138,4464844
139,4377509
140,5787226
141,2843809
142,4849339
143,3087212
144,4877201
145,3907474
146,4868785
147,3504132
148,4312547
149,4691213
150,4030171
151,3304896
152,5102996
153,5596631
154,3512550
155,5009782
156,5104195
157,4843769
158,3689969
159,3966646
160,3225947
161,4114539
162,3837483
163,5158391
164,6229923
165,3366696
166,4362628
167,3811135
168,4373213
169,4772585
170,4018400
171,3305853
172,3809847
173,4876760
174,4870522
175,3382659
176,5628159
177,5044897
178,4299160
179,3576600
180,4289516
181,4385958
182,4770749
183,3953055
184,4558857
185,3522633
186,3785076
187,5243350
188,5459486
189,4714921
190,4352866
191,4925427
192,5355360
193,3849138
194,4552104
195,4531257
196,4133711
197,2709043
198,3650360
199,4440808
200,4245510
201,3798595
202,4430978
203,4793926
204,5040088
205,5152488
206,4788248
207,4306847
208,4631495
209,3800780
210,4423044
211,4885516
212,3473844
213,3416974
214,5517475
215,2220406
216,4628939
217,4990781
218,4037682
219,2862294
220,5394649
221,4720606
222,4957791
223,4078616
224,4800504
225,4434571
226,3565897
227,6153822
228,3256916
229,4886850
230,4579024
231,5693087
232,4167106
233,4227361
234,3755018
235,4718067
236,4265203
237,3536981
238,4279798
239,4488966
240,4426477
241,4150469
242,3484655
243,4360808
244,4851294
245,4748803
246,4033248
247,4643292
248,4539699
249,4374292
250,3019275
251,4629009
252,5657407
253,4224631
254,4544909
255,3686634
256,4442785
257,4515679
258,3679201
259,4069567
260,4337702
261,3956393
262,5509559
263,4307446
264,2510043
265,5402967
266,4293259
267,6180203
268,4801892
269,4245797
270,3761275
271,3001203
272,4738605
273,4749836
274,3827653
275,5518289
276,6027965
277,5456500
278,4672767
279,4139931
280,5047851
281,3899725
282,3267962
283,3939474
284,4753096
285,2949135
286,5008642
287,4178981
288,4526851
289,3801256
290,4154604
291,4368467
292,3438605
293,4802741
294,3656923
295,5298331
296,5267039
297,5438192
298,4611783
299,4843773
300,4568666
301,4821560
302,4987766
303,5493069
304,4166702
305,4691003
306,4040255
307,4787197
308,2378133
309,4277209
310,4406153
311,3835608
312,3299781
313,4155623
314,3533359
315,3759764
316,3067629
317,4483540
318,5496822
319,3983863
320,3945565
321,3676709
322,4032775
323,4313958
324,4342985
325,4190852
326,4881138
327,4433977
328,4597580
329,5308216
330,3283850
331,4847142
332,4732595
333,5544292
334,5302630
335,4544137
336,3099727
337,4712775
338,3996303
339,3452813
340,4809088
341,4691670
342,4805185
343,4719483
344,4472840
345,3937207
346,3783023
347,5415151
348,3148229
349,4720381
350,4431416
351,5193980
352,5633532
353,3745282
354,3699756
355,4584663
356,5117954
357,4520030
358,4896444
359,4992623
360,4311396
361,4134557
362,4021176
363,4613687
364,5264742
365,3712328
366,3053956
367,3914333
368,3868180
369,4780446
370,3935783
371,4511062
372,4622735
373,5197964
374,3610660
375,4707586
376,3860594
377,3881085
378,4867073
379,4476794
380,4859856
381,3947323
382,3419021
383,4798803
384,3979655
385,5843235
386,3948377
387,4719841
388,4661630
389,4353019
390,5207649
391,3602762
392,3585169
393,4511561
394,5354220
395,3390880
396,5199770
397,5253033
398,5340717
399,5208733
400,3393316
401,3775173
402,3718669
403,4648641
404,3501813
405,4280411
406,4577013
407,4385973
408,2729413
409,3756882
410,3548825
411,3849105
412,4639047
413,4965808
414,5215428
415,3997977
416,5210173
417,2666814
418,4012563
419,3656189
420,4456477
421,4867590
422,4754213
423,3816203
424,4713194
425,4552594
426,4435474
427,3727575
428,4752753
429,3403338
430,3789128
431,3998245
432,2754629
433,4239477
434,3535590
435,4511326
436,4033919
437,3188679
438,3433581
439,5272490
440,4780467
441,4735965
442,4673913
443,4566889
444,4657607
445,4350782
446,5638810
447,4436169
448,4754403
449,5819623
450,4938379
451,3633441
452,3658362
453,4965430
454,4746903
455,4151303
456,3377954
457,4083492
458,4182346
459,3064502
460,5073778
461,4494927
462,5200694
463,3262789
464,4651382
465,3687962
466,4217375
467,3445265
468,4247463
469,4492288
470,4165433
471,4411662
472,3618677
473,4480075
474,4922660
475,3999286
476,3735810
477,4792832
478,4068949
479,4804081
480,3826907
481,5587050
482,3635770
483,4687962
484,5398325
485,3378293
486,4572939
487,4254492
488,4768491
489,3769524
490,4646069
491,3271551
492,4498995
493,4999556
494,4404221
495,4291996
496,4899465
497,4270642
498,4114060
499,4412285
500,4580627
501,2717555
502,4087389
503,5226559
504,4031840
505,3949696
506,3736556
507,4473844
508,3392719
509,4614347
510,5226701
511,5181154
512,2762338
513,4936134
514,3620137
515,2711692
516,3479805
517,4550455
518,4389999
519,4420591
520,3703047
521,5373634
522,5212699
523,5387991
524,4579848
525,4828390
526,2788679
527,4875799
528,5659517
529,4554235
530,3851699
531,4278488
532,4568169
533,3982677
534,5047635
535,4466248
536,4450287
537,3548160
538,3678082
539,5290894
540,4603440
541,3499741
542,3831914
543,4241305
544,4101119
545,4680429
546,3056713
547,4192645
548,3916199
549,4219607
550,3846375
551,4266531
552,4191122
553,5024046
554,4473484
555,4410377
556,3296163
557,5013623
558,4064704
559,4304600
560,4649165
561,5575631
562,2701451
563,4677492
564,3352295
565,4568092
566,3232681
567,5355118
568,4158844
569,3718785
570,4632048
571,5195685
572,4399085
573,4739121
574,4320262
575,3280694
576,5947704
577,3973304
578,3868050
579,4480160
580,3610509
581,4341506
582,5451764
583,4024019
584,4282408
585,4567252
586,3556981
587,3847395
588,5065772
589,4162032
590,3664971
591,4144679
592,4330838
593,3156465
594,3763044
595,3571352
596,3982857
597,3797649
598,4383280
599,5260182
600,5090439
601,5133868
602,4979517
603,2972084
604,2875148
605,3389448
606,3233560
607,3878181
608,2905258
609,5216558
610,5784220
611,2686037
612,4726583
613,4630493
614,5225222
615,3156443
616,4869721
617,4990450
618,5920912
619,4273471
620,4138295
621,5359401
622,4748510
623,5036203
624,3339860
625,4931267
626,4672101
627,4790468
628,3848736
629,3959959
630,5829457
631,5201837
632,5120452
633,5291700
634,2850506
635,3891595
636,4937777
637,3902153
638,4184524
639,4573572
640,4717211
641,4839644
642,3370556
643,4881704
644,4980693
645,3303754
646,4805122
647,3700395
648,3864987
649,3582131
650,3382426
651,4287168
652,5115184
653,5158069
654,4001343
655,5246500
656,3899620
657,4948141
658,5701030
659,4072330
660,5035436
661,5307528
662,4882617
663,4653616
664,4082187
665,3548169
666,5496024
667,3632361
668,4129013
669,4280163
670,5385904
671,5252598
672,3721959
673,4415666
674,4592637
675,3284988
676,4027435
677,3356889
678,3907542
679,4903986
680,3641196
681,4542559
682,3468410
683,4602667
684,4581755
685,4849387
686,3681561
687,2796197
688,5131684
689,3675734
690,3978359
691,3657624
692,3390249
693,3565229
694,3381984
695,3387943
696,4157464
697,4992284
698,4534975
699,3266455
700,5648787
701,4082397
702,4077465
703,4930634
704,4880282
705,5151887
706,5121448
707,4324639
