4,5,4,4,2,2,5,4,5,5,3,5,5,1,2,2,2,4,5,4,1,3,3,1,1,1,4,2,3,5,3,4,5,5,4,3,4
4,5,4,4,1,2,5,5,5,5,1,5,5,3,4,3,3,4,3,2,1,3,2,5,2,3,3,3,3,4,3,5,2,4,4,4,3
2,4,2,5,2,3,5,5,5,5,2,5,5,2,4,4,1,4,1,1,1,1,1,3,2,2,2.5,1,3,4,5,3,4,4,4,3,3
6,4.5,6,6,4,4,10,8,10,10,8,10,7.5,6,4,9,3,12,20,12,6,1,10,2,2,2.5,2.5,2.5,7.5,25,12,10,6,18,12,12,6
3,4,3,4,2,2,5,5,5,5,2,5,5,2,1,2,1,4,2,2,1,2,1,2,3,3,5,1,3,5,1,3,2,3,4,3,3
6,6,4.5,7.5,8,10,10,8,8,8,10,8,6,3,5,12,3,12,5,6,3,1,5,5,5,5,10,7.5,5,15,3,10,4,6,12,12,6
2,3,4,4,1,5,5,5,5,5,2,5,5,3,4,4,3,4,2,4,1,2,1,5,4,4,5,1,3,4,5,2,2,3,5,4,4
4,5,4,5,2,3,5,4,4,4,4,3,4,2,4,4,1,4,3,5,2,4,2,3,3,3,2,3,2,4,3,3,2,4,4,3,3
1,1,4,4,1,2,1,5,5,5,1,5,5,1,1,2,1,4,1,1,1,1,1,4,4,4,2,2,3,4,5,5,3,4,5,4,5
6,4.5,6,7.5,6,4,10,10,10,10,2,10,7.5,6,4,12,4,12,25,3,3,1,10,2,4,3,5,5,2.5,15,9,10,4,18,12,16,6
9,6,6,6,4,4,10,8,10,10,8,10,7.5,9,8,15,12,12,25,15,15,3,20,6,8,7.5,3,10,2.5,20,3,15,4,24,15,16,2
2,4,4,4,2,5,5,5,5,5,2,5,5,2,2,5,2,4,2,5,1,1,3,5,2,3,5,3,3,5,5,4,2,3,4,4,2
2,2,4,4,2,1,5,4,5,5,3,5,5,2,4,4,2,3,3,4,1,2,2,4,4,4,2,1,3,5,2,4,2,4,4,4,3
4,5,4,4,1,3,5,5,5,5,2,5,5,4,4,4,3,4,3,4,1,2,1,4,4,3,3,3,3,5,1,5,2,4,4,4,3
2,2,4,4,1,2,5,5,5,5,2,5,5,3,4,3,4,4,3,3,1,3,2,3,4,3,3,2,3,3,1,4,2,3,4,3,1
12,7.5,6,6,2,10,10,10,10,10,4,10,7.5,3,10,15,3,12,10,9,3,2,5,8,8,10,2.5,7.5,7.5,5,15,20,2,12,3,16,4
3,5,4,4,2,5,5,4,5,4,3,5,4,3,4,3,3,4,1,4,1,1,1,2,3,2,3,2,2,5,3,2,2,4,4,4,3
2,4,4,5,1,3,5,4,5,5,3,5,5,2,4,4,3,4,1,1,1,1,1,2,4,4,4,1,1,4,3,3,2,4,4,4,3
4,5,4,3,1,2,5,5,5,5,2,5,5,3,2,3,2,3,4,5,1,4,2,5,3,3,3,2,3,3,5,5,4,4,4,3,2
2,4,4,4,2,2,5,5,4,4,1,3,4,3,2,4,3,4,2,1,1,1,1,2,4,2,4,2,3,3,2,5,2,4,4,4,4
3,4,4,4,2,2,5,4,5,5,3,5,5,3,5,5,4,4,5,5,1,1,5,2,4,1,5,1,3,5,1,2,2,4,5,5,4
5,5,4,4,2,2,5,4,4,4,4,3,4,3,4,4,3,4,4,5,1,3,1,3,4,3,2,3,1,5,3,3,2,4,4,4,2
9,6,6,6,4,6,10,10,10,10,2,10,7.5,3,4,5,3,9,15,12,3,3,10,3,3,5,3,7.5,7.5,15,3,10,4,12,12,5,3
2,4,4,4,2,2,5,3,4,4,5,4,4,3,4,3,3,4,2,2,1,1,1,2,3,2,2,2,3,2,3,4,2,4,4,4,1
5,5,3,5,2,2,5,5,5,4,2,5,4,4,4,4,5,4,5,5,2,2,3,2,2,2,5,3,2,5,5,4,4,4,4,5,2
4,4,5,5,2,2,5,5,5,5,2,5,5,3,2,4,3,3,3,1,2,1,1,2,2,2,4,2,3,5,3,4,3,3,4,4,2
3,5,4,5,2,3,5,3,5,4,5,5,4,3,4,4,1,4,5,5,2,3,2,2,2,2,1,3,3,5,5,4,3,3,4,3,1
4,5,4,3,1,2,5,4,4,5,4,4,5,4,4,4,2,4,5,5,5,5,5,3,4,2,1,4,3,3,1,4,2,4,4,4,2
4,5,4,4,1,3,5,5,4,4,2,4,4,3,4,4,2,4,5,5,2,4,3,5,3,4,2,4,2,3,5,5,2,3,5,4,4
1,1,4,4,2,1,1,4,4,4,5,2,4,3,2,4,1,3,1,1,1,1,1,2,4,3,3,1,3,3,2,4,2,3,4,5,3
1,1,3,3,2,1,1,5,5,5,2,5,5,3,4,4,3,4,1,1,1,1,1,2,4,2,2.5,1,3,5,3,4,2,4,4,3,3
4,5,4,4,1,3,5,5,5,5,2,5,5,2,3,3,1,3,4,2,1,2,1,5,2,5,2,2,3,4,3,3,2,3,4,3,3
3,4,3,4,3,2,5,4,4,4,3,4,4,3,2,3,1,4,5,1,1,1,1,1,2,1,1,1,3,3,4,3,2,4,4,3,1
2,3,4,4,2,2,5,5,5,5,1,5,5,3,4,4,2,3,3,1,1,2,1,2,2,3,4,2,3,4,3,4,2,4,4,5,2
4,5,4,4,1,3,5,4,4,5,4,4,5,3,2,4,3,4,1,4,1,2,1,5,4,4,3,4,3,4,3,5,3,4,5,4,3
4,5,4,3,1,2,5,4,4,5,5,4,5,2,2,4,2,4,5,5,4,3,5,3,3,3,4,3,2,4,1,3,3,3,4,3,3
3,5,5,3,1,5,5,5,5,5,2,5,5,3,4,4,2,4,2,5,2,4,3,3,3,4,2,3,3,5,2,3,3,3,4,4,3
2,3,4,3,1,5,5,5,5,5,1,5,5,1,1,2,1,4,1,3,1,2,5,1,1,1,1,1,3,5,5,5,3,4,4,3,1
3,5,4,4,2,5,5,4,5,4,3,5,4,3,2,3,1,3,1,4,1,1,1,3,3,2,4,2,2,3,4,4,3,3,4,4,3
4,5,4,4,2,3,5,4,4,4,4,4,4,4,4,3,3,3,3,5,1,2,2,3,3,3,1,2,2,4,1,2,2,3,4,3,2
3,5,4,4,2,2,5,1,4,4,5,2,4,4,4,4,3,3,5,5,5,1,1,5,5,5,1,3,2,5,5,3,3,3,4,3,2
4,5,5,4,1,5,5,3,4,5,5,3,5,3,4,5,5,4,5,5,5,5,5,5,3,5,1,5,1,5,5,4,3,3,4,4,1
12,7.5,6,6,4,4,10,8,10,10,6,10,7.5,9,4,12,12,12,25,15,6,4,20,5,4,5,4,7.5,5,15,9,15,4,18,12,8,2
2,4,5,4,1,2,5,5,5,5,2,5,5,3,3,4,2,4,1,1,1,2,1,3,3,4,3,1,3,4,3,5,2,4,4,4,1
2,3,5,3,1,5,5,5,5,5,1,5,5,1,1,3,1,4,1,3,1,2,1,1,1,1,1,2,3,3,5,5,2,3,4,3,4
6,6,6,4.5,2,8,10,10,10,8,4,10,6,3,4,12,4,12,5,15,3,2,5,5,4,7.5,5,5,7.5,15,12,15,4,12,12,16,3
3,5,5,3,1,2,5,5,5,5,2,5,5,2,2,4,2,4,2,5,2,4,2,1,1,1,4,3,3,5,5,4,2,2,4,3,3
4,5,5,3,1,2,5,4,5,5,3,5,5,4,4,3,5,4,3,5,3,5,5,4,4,4,4,5,3,4,1,2,2,3,5,5,1
4,5,4,4,2,2,5,4,4,5,4,4,5,3,2,4,3,4,5,5,3,3,5,3,2,4,2.5,4,3,4,3,4,3,3,5,3,2
12,7.5,6,6,2,8,10,10,10,10,4,10,7.5,3,2,4,3,5,15,3,3,3,5,5,4,5,12.5,7.5,7.5,15,5,10,6,18,12,16,6
3,5,4,5,3,4,5,4,4,4,5,4,4,1,1,2,1,1,5,5,1,3,2,2,2,2,1,3,3,5,2,3,2,2,2,3,3
2,2,4,4,2,2,4,4,5,5,4,5,5,3,4,3,2,4,5,4,2,1,2,2,3,2,3,1,3,3,3,4,2,3,4,5,3
2,3,4,4,2,1,1,4,4,5,3,4,5,2,2,4,1,4,1,1,1,1,1,2,3,2,3,1,3,3,3,3,2,2,4,3,2
3,4,4,3,1,2,5,5,5,5,2,5,5,2,3,4,1,4,2,4,2,1,1,3,3,3,2.5,3,3,5,1,3,2,3,4,3,1
2,4,5,4,1,1,3,4,4,4,4,2,3,5,4,4,3,4,1,2,2,1,1,5,5,5,4,2,3,5,2,3,3,4,4,4,3
2,4,4,4,1,4,5,5,5,5,1,5,5,2,3,3,1,3,1,1,1,1,1,3,4,3,1,3,3,5,3,4,3,3,4,4,3
4,5,4,4,2,2,5,4,4,4,5,3,4,3,3,4,3,4,4,5,2,2,2,3,4,3,3,3,3,4,3,3,2,4,5,4,1
2,3,4,3,1,4,5,5,5,5,2,5,5,2,2,4,2,5,1,2,1,1,1,3,3,3,2.5,3,2,5,3,4,3,4,5,4,2
3,4,4,5,2,2,5,5,5,5,2,5,5,2,2,4,3,4,1,3,1,3,1,2,3,2,4,2,3,3,3,5,2,3,4,4,2
4,5,4,4,1,3,5,5,5,5,2,5,5,3,2,4,3,3,3,3,1,3,1,3,4,3,5,2,3,3,2,4,3,3,4,4,3
12,7.5,6,6,2,6,10,8,10,10,6,10,7.5,6,4,9,3,12,10,15,6,3,10,4,4,5,2.5,5,7.5,10,15,20,4,18,12,12,2
12,7.5,6,6,4,6,10,8,8,8,6,8,6,4,4,12,3,12,15,12,3,2,5,3,6,10,10,7.5,5,20,9,20,4,24,12,16,6
2,4,4,4,2,3,5,5,5,4,2,5,4,4,1,2,2,4,3,1,1,1,1,3,3,3,1,2,3,1,1,3,2,3,1,3,3
2,2,4,4,3,1,4,5,5,5,2,5,5,3,3,3,3,4,2,1,1,1,1,5,4,2,2,1,3,3,2,3,2,3,4,3,3
12,7.5,6,6,2,8,10,10,10,10,4,10,7.5,15,10,15,15,12,10,9,6,3,5,10,10,12.5,5,5,7.5,20,15,25,4,24,15,20,6
3,5,4,3,1,2,5,5,5,5,1,5,5,4,2,3,3,4,1,1,1,1,1,3,3,3,2.5,1,3,4,1,5,2,3,4,3,2
2,2,4,3,1,1,1,4,5,5,3,5,5,3,4,4,1,4,4,3,1,1,2,4,3,4,2.5,2,3,4,5,2,3,3,4,3,2
4,5,4,5,2,4,5,4,4,4,3,3,4,3,4,4,3,4,5,5,3,5,3,3,3,3,3,5,1,4,2,3,3,3,4,4,3
2,4,3,4,2,3,5,5,5,4,1,5,4,2,2,2,1,4,2,1,1,2,1,5,3,5,5,2,3,5,5,5,4,4,4,3,4
2,2,4,5,4,2,5,5,5,5,1,5,5,2,2,3,1,4,3,1,1,2,1,2,3,2,5,2,3,3,4,4,3,4,4,5,3
4,5,4,4,1,4,5,5,5,5,2,5,5,3,3,3,2,4,3,5,1,4,2,5,4,5,3,3,3,5,1,4,2,4,4,4,2
12,7.5,6,6,2,10,10,10,10,10,4,10,7.5,9,8,12,3,12,10,9,6,3,5,8,8,10,10,10,7.5,5,6,10,6,18,12,12,6
3,5,4,4,2,2,5,3,4,5,5,4,5,3,2,3,1,4,4,5,5,3,5,5,2,5,3,5,1,4,3,3,2,3,4,3,1
4,5,4,5,2,2,5,3,4,5,5,4,5,3,4,4,2,4,5,5,5,5,5,5,4,3,3,5,3,5,3,5,2,4,4,4,3
12,7.5,6,6,2,8,10,8,8,8,8,8,6,12,10,12,9,9,20,15,6,4,25,10,8,10,2.5,12.5,2.5,20,9,15,4,12,12,12,4
5,5,4,5,1,4,5,3,4,4,5,3,4,3,4,4,3,4,5,5,5,5,4,5,5,5,1,5,2,3,1,4,3,4,4,4,3
2,2,4,4,2,2,5,5,5,5,2,5,5,3,4,3,3,4,3,4,1,2,1,2,3,1,1,2,3,4,1,3,3,3,4,4,1
